NOM DE LA STATION;LATITUDE;LONGITUDE

LA DEFENSE GRANDE-ARCHE ;48.89200565400341;2.2369831238
ESPLANADE DE LA DEFENSE;48.88835806016618;2.24993721286
PONT DE NEUILLY;48.88719228663093;2.25350975126
LES SABLONS;48.88719228663093;2.25350975126
PORTE MAILLOT;48.878303215604646;2.283473635
ARGENTINE; 48.523251;2.1722
CHARLES DE GAULLE - ETOILE;48.874560721233664;2.2966118455
GEORGES V;48.5209;2.1802
FRANKLIN D. ROOSEVELT;48.52&9;2.1830
CHAMPS-ELYSEES - CLEMENCEAU;48.867842706224465;2.313209991723062
CONCORDE;48.5158;2.1921
TUILERIES;48.5158;2.1949
PALAIS ROYAL-MUSEE DU LOUVRE;48.5146;2.1949
LOUVRE-RIVOLI;48.5131;2.2025
CHATELET;48.5140;2.2050
HOTEL DE VILLE;48.5124;2.2105
SAINT-PAUL;48.5119;2.2138
BASTILLE;48.511;2.2209
GARE DE LYON;48.5041;2.2227
REUILLY-DIDEROT;48.5050;2.2345
NATION;48.5054;2.2345
PORTE DE VINCENNES;48.5050;2.2432
SAINT MANDE;48.5047;2.2345
BERAULT;48.5043;2.2507
CHATEAU DE VINCENNES;48.5040;2.2622


PORTE DAUPHINE;48.5218;2.1636
VICTOR HUGO;48.82668997900703;2.573822341110482
CHARLES DE GAULLE - ETOILE;48.874560721233664;2.2966118455
TERNES;48.5241;2.1755
COURCELLES;48.87914640724038;2.303571149548516
MONCEAU;48.5249;2.1831
VILLIERS;48.5252;2.1854
ROME;48.5257;2.1854
PLACE DE CLICHY;48.5302;2.1939
BLANCHE;48.5302;2.2001
PIGALLE;48.5256;2.2015
ANVERS;48.5259;2.2041
BARBES;48.5301;2.2102
LA CHAPELLE;48.5304;2.2137
STALINGRAD;48.5303;2.2157
JAURES;48.5254;2.2157
COLONEL FABIEN;48.5238;2.2216
BELLEVILLE;48.5218;2.2237
COURONNES;48.5210;2.2237
MENILMONTANT;48.5158;2.2301
PERE LACHAISE;48.5147;2.2315
PHILIPPE AUGUSTE;48.5129;2.2327
ALEXANDRE DUMAS;48.5122;2.2327
AVRON;48.5107;2.2352
NATION;48.5054;2.2345

PONT DE LEVALLOIS-BECON;2.280018909310054;48.89734549612177
ANATOLE FRANCE;2.284576997568566;48.89203618877985
LOUISE MICHEL;2.432168312549982;48.87626439856001
PORTE DE CHAMPERRET;2.292760345647948;48.885397984542195 
PEREIRE;2.2971351115061642;48.8850310612536 
WAGRAM;2.305557757514303;48.883712476037346 
MALESHERBES;2.311009243005514;48.88253647289218 
VILLIERS;2.316147050907411;48.88140510041144
EUROPE;2.321898183635735;48.8790423308317 
SAINT-LAZARE;2.326082146993026;48.87541193459026 
HAVRE-CAUMARTIN;2.327989951615834;48.87374046011082 
OPERA;2.332104835260031;48.871188310963326 
QUATRE-SEPTEMBRE;2.338181073206361;48.86917525585135 
BOURSE;2.340633254240012;48.8686898950085 
SENTIER;2.34756723541508;48.8673503814313 
REAUMUR-SEBASTOPOL;2.350877379276764;48.86648726254369 
ARTS ET METIERS;2.357211673996915;48.86581231751377
TEMPLE;2.361571327032731;48.866764167814516
REPUBLIQUE;2.363955968897187;48.868039861543714
PARMENTIER;2.3747570817167682;48.86525985667316
RUE SAINT-MAUR;2.380899788552119;48.86408940574645
PERE LACHAISE;2.398445833771861;48.864782700687876
GAMBETTEA;2.397710295368397;48.86483700048306
PORTE DE BAGNOLET;2.409561271654804;48.86455178820427
GALLIENI;2.416836454870353;48.865158291979306


PORTE DE CLIGNANCOURT;;
SIMPION;
MARCADET-POISSONHIERS;;
CHATEAU-ROUGE;;
BARBES-ROCHECHOUART;;
GARE DU NORD;;
GARE DE L'EST;
CHATEAU D'EAU;;
STRASBOURG-SAINT-DENIS;
REAUMUR-SEBASTOPOL;;
ETIENNE-MARCEL; ;
LES HALLES;;
CHATELET;
CITE;;
SAINT-MICHEL;;
ODEON;;
ST-GERMAIN DES PRES;;
SAINT-SULPICE;;
SAINT-PLACIDE;;
MONTPARNASSE BIENVENUE;;
VAVIN;;
RASPAIL;;
DENFERT-ROCHEREAU;;
MOUTON-DUVERNET;;
ALESIA;;
PORTE D'ORLEANS;
